,Magazijn_LN,artikel_nr,Mutatiesoort,Beweging,Totaal_gewicht,Stuk_gewicht,Date_Time,buchungs_nr,bewegungsart,Voorraad na mutatie,Code_voorraadmutatie
0,EZSI,59593,1,Inventory Adjustment,-11460.0,-11460.0,2023-06-12 11:56:05,19390637,V,0.0,
1,EZDS,65248,,Lager an Lager,-600.0,-600.0,2023-06-13 07:23:36,19390636,300,0.0,0.0
2,EZDS,65248,,Lager an Lager,600.0,600.0,2023-06-13 07:23:39,19390638,300,0.0,0.0
3,EZDS,65248,,Lager an Lager,-600.0,-600.0,2023-06-13 07:27:28,19390693,300,0.0,0.0
4,EZDS,65248,,Lager an Lager,600.0,600.0,2023-06-13 07:27:32,19390699,300,0.0,0.0
5,EZDS,65248,,Lager an Lager,-600.0,-600.0,2023-06-13 07:35:14,19390836,300,0.0,0.0
6,EZDS,65248,,Lager an Lager,600.0,600.0,2023-06-13 07:35:17,19390838,300,0.0,0.0
7,EZDS,66625,,Lager an Lager,800.0,800.0,2023-06-13 07:37:50,19390874,300,0.0,0.0
8,EZDS,67452,5.0,Lager an Lager,-400.0,-400.0,2023-06-13 07:47:40,19391038,300,0.0,0.0
9,EZDS,67452,,Lager an Lager,400.0,400.0,2023-06-13 07:47:43,19391040,300,0.0,0.0
10,EZDS,65248,,Lager an Lager,-600.0,-600.0,2023-06-13 07:52:09,19391112,300,0.0,0.0
11,EZDS,65248,,Lager an Lager,600.0,600.0,2023-06-13 07:52:20,19391113,300,0.0,0.0
12,EZDS,65248,5.0,Abgang,-30.555,-30.555,2023-06-13 07:54:54,19391165,200,0.0,0.0
13,EZDS,11176,5.0,Abgang,-42.364,-42.364,2023-06-13 07:55:04,19391169,200,0.0,0.0
14,EZDS,10758,5.0,Abgang,-186.244,-186.244,2023-06-13 07:55:47,19391178,200,0.0,0.0
15,EZDS,67451,5.0,Abgang,-55.988,-55.988,2023-06-13 07:58:36,19391234,200,0.0,0.0
16,EZDS,67452,5.0,Abgang,-90.466,-90.466,2023-06-13 07:59:07,19391244,200,0.0,0.0
17,EZDS,64305,5.0,Abgang,-120.246,-120.246,2023-06-13 08:01:07,19391311,200,0.0,0.0
18,EZDS,11176,5.0,Abgang,-136.132,-136.132,2023-06-13 08:05:13,19391384,200,0.0,0.0
19,EZMV,39912,,Lager an Lager,-16.739,-16.739,2023-06-13 08:06:06,19391395,300,0.0,0.0
20,EZMV,39912,,Mengenauflösung reserv./geplant,16.739,16.739,2023-06-13 08:06:06,19391395,408,0.0,0.0
21,EZMV,39912,,Lager an Lager,16.739,16.739,2023-06-13 08:06:06,19391395,300,0.0,0.0
22,EZMV,39912,,Lager an Lager,16.739,16.739,2023-06-13 08:06:32,19391403,300,0.0,0.0
23,EZMV,39912,,Lager an Lager,-16.739,-16.739,2023-06-13 08:06:32,19391403,300,0.0,0.0
24,EZMV,39912,,Lager an Lager,-17.87,-17.87,2023-06-13 08:06:42,19391408,300,0.0,0.0
25,EZMV,39912,,Lager an Lager,17.87,17.87,2023-06-13 08:06:42,19391408,300,0.0,0.0
26,EZMV,39912,,Mengenauflösung reserv./geplant,17.87,17.87,2023-06-13 08:06:42,19391408,408,0.0,0.0
27,EZMV,39912,,Lager an Lager,-16.739,-16.739,2023-06-13 08:06:46,19391412,300,0.0,0.0
28,EZMV,39912,,Lager an Lager,-17.87,-17.87,2023-06-13 08:06:52,19391417,300,0.0,0.0
29,EZMV,39912,,Lager an Lager,17.87,17.87,2023-06-13 08:06:52,19391417,300,0.0,0.0
30,EZMV,39912,,Lager an Lager,-17.87,-17.87,2023-06-13 08:06:58,19391422,300,0.0,0.0
31,EZMV,39912,,Lager an Lager,15.37,15.37,2023-06-13 08:07:19,19391429,300,0.0,0.0
32,EZMV,39912,,Lager an Lager,-15.37,-15.37,2023-06-13 08:07:19,19391429,300,0.0,0.0
33,EZMV,39912,,Lager an Lager,-15.37,-15.37,2023-06-13 08:07:28,19391438,300,0.0,0.0
34,EZMV,39912,,Lager an Lager,15.37,15.37,2023-06-13 08:07:28,19391438,300,0.0,0.0
35,EZMV,39912,,Lager an Lager,-15.37,-15.37,2023-06-13 08:07:41,19391443,300,0.0,0.0
36,EZSI,59595,,Lager an Lager,-280.0,-280.0,2023-06-13 08:08:31,19391457,300,0.0,0.0
37,EZMV,11176,,Zugang,825.0,33.0,2023-06-13 08:10:14,19391490,100,0.0,0.0
38,EZDS,11176,,Lager an Lager,825.0,33.0,2023-06-13 08:10:18,19391491,300,0.0,0.0
